,id,name,average_rating,guests,room_type,house_type,beds,baths,is_new_listing,title,lat,lng,rate,amount,picture,reviews_count
10,545566346830549823,Studio condo with gorgeous views of Mobile Bay,5.0,3 guests,1 bedroom,entire_home,2 beds,1 bath,False,Condo in Daphne,30.63686,-87.91392,$101,101,https://a0.muscache.com/im/pictures/miso/Hosting-545566346830549823/original/46c339d8-0cd0-4d76-85c2-d0ad92004460.jpeg?im_w=720,9
11,12211331,Affordable Beach Bungalow!,4.9,6 guests,1 bedroom,entire_home,3 beds,1 bath,False,Villa in Gulf Shores,30.24596,-87.70108,$161,161,https://a0.muscache.com/im/pictures/bc3bb107-9bd8-48a1-806a-d54e9d5bb604.jpg?im_w=720,254
12,53574354,FRONTDESK | Inviting Studio  near Sloss Furnaces,4.98,3 guests,Studio,entire_home,1 bed,1 bath,False,Apartment in Birmingham,33.51393,-86.78972,$110,110,https://a0.muscache.com/im/pictures/miso/Hosting-53574354/original/86adfc12-3002-47ea-b1a0-b1998e723dd0.jpeg?im_w=720,51
13,15045357,Glen Iris Cozy Room 1- UAB/Southside,4.88,2 guests,1 bedroom,private_room,1 bed,1 private bath,False,Private room in Birmingham,33.48979,-86.80822,$60,60,https://a0.muscache.com/im/pictures/b2979a86-3ba4-46a5-8804-34fb1f86805f.jpg?im_w=720,328
14,46116458,4th floor BEACHFRONT breathtaking views 2bed/2bath,4.89,8 guests,2 bedrooms,entire_home,3 beds,2 baths,False,Condo in Gulf Shores,30.24595,-87.70791,$200,200,https://a0.muscache.com/im/pictures/d5f21a09-f972-4484-94be-5d5016f4f917.jpg?im_w=720,90
15,39478825,Lovely & Intimate * Perfect Vacay *  Psalms 30:5,4.93,4 guests,1 bedroom,entire_home,2 beds,1.5 baths,False,Condo in Gulf Shores,30.24068,-87.75063,$120,120,https://a0.muscache.com/im/pictures/183c6f7c-511c-4acc-a91b-7fd7bd8a28f2.jpg?im_w=720,75
16,40824681,Beachfront - Amazing Location - Spectacular Views!,4.9,4 guests,1 bedroom,entire_home,2 beds,1 bath,False,Condo in Gulf Shores,30.24625,-87.69421,$174,174,https://a0.muscache.com/im/pictures/dc676a63-71ee-4ff5-8564-32c5619ee57e.jpg?im_w=720,141
17,50486769,"Quite room near UAH, Monte Sano, Von Braun Center.",4.97,1 guest,1 bedroom,private_room,1 bed,1.5 shared baths,False,Private room in Huntsville,34.72895,-86.61569,$50,50,https://a0.muscache.com/im/pictures/miso/Hosting-50486769/original/933004db-5ac6-4496-bc83-edc4865f92a3.jpeg?im_w=720,30
18,46984771,***OCEAN/ BEACH...VIEW. RESORT STYLE ***,4.94,4 guests,1 bedroom,entire_home,2 beds,1 bath,False,Townhouse in Coden,30.43024,-88.10696,$140,140,https://a0.muscache.com/im/pictures/8c4cc722-e579-4505-ab0f-36d29461d30e.jpg?im_w=720,157
19,21025342,Quiet 2 bed 2 bath condo only steps to Wolf Bay,4.91,6 guests,2 bedrooms,entire_home,3 beds,2 baths,False,Condo in Orange Beach,30.29427,-87.57721,$163,163,https://a0.muscache.com/im/pictures/miso/Hosting-21025342/original/9d3c5419-bda0-4b8a-b616-b08c38d6dc32.jpeg?im_w=720,202
0,2729140,"Cozy Studio in Midtown - Anchorage, Alaska",4.91,2 guests,Studio,entire_home,1 bed,1 bath,False,Apartment in Anchorage,61.19828,-149.90497,$86,86,https://a0.muscache.com/im/pictures/3b01bfa7-97e9-4084-8ee0-fd91fdc729d4.jpg?im_w=720,107
1,43452580,5 min walk to Glen Alps/Flattop Trailhead! Sauna!,5.0,6 guests,3 bedrooms,entire_home,4 beds,2 baths,False,Home in Anchorage,61.09851,-149.69145,$584,584,https://a0.muscache.com/im/pictures/d459089b-434d-47cc-983e-a8e45d162aae.jpg?im_w=720,45
2,48351023,"Shorebird Cottage · Incredible View, Private Hot Tub, Bird Watching!",4.97,2 guests,1 bedroom,entire_home,1 bed,1 bath,False,Cottage in Homer,59.6396,-151.47891,$278,278,https://a0.muscache.com/im/pictures/prohost-api/Hosting-48351023/original/45c0b5ba-ae4a-4497-a966-64cd2108338e.jpeg?im_w=720,79
3,51585156,#7 - Walkable Cottage - Fun Area -  Qn + Sofabed,4.72,4 guests,1 bedroom,entire_home,1 bed,1 bath,False,Cottage in Anchorage,61.19708,-149.90022,$107,107,https://a0.muscache.com/im/pictures/miso/Hosting-51585156/original/ea28d54e-f443-4cc0-b78e-5a157e40c26b.jpeg?im_w=720,47
4,51930707,Luxe Mountain Hideaway w/ Hot Tub: Ski & Hike,5.0,6 guests,3 bedrooms,entire_home,3 beds,2 baths,False,Chalet in Anchorage,61.23398,-149.44877,$487,487,https://a0.muscache.com/im/pictures/miso/Hosting-51930707/original/90565d5f-d610-478e-966b-216b984d48b3.jpeg?im_w=720,28
5,19807997,Forget-Me-Not: Cozy queen bed in private room,4.55,1 guest,1 bedroom,private_room,1 bed,2 shared baths,False,Private room in Anchorage,61.18295,-149.7879,$42,42,https://a0.muscache.com/im/pictures/a293d52b-ee26-4fb8-883b-74fe400edf98.jpg?im_w=720,53
6,47989903,In Town Chalet Getaway,4.91,6 guests,1 bedroom,entire_home,2 beds,1.5 baths,False,Chalet in Anchorage,61.14665,-149.98005,$146,146,https://a0.muscache.com/im/pictures/a479616b-b94c-4ea1-bee9-a380407b9980.jpg?im_w=720,65
7,22469767,Quiet Forest Cabin ·  Creekside Hot Tub!,4.91,4 guests,2 bedrooms,entire_home,3 beds,1 bath,False,Cabin in Anchorage,60.95604,-149.13081,$210,210,https://a0.muscache.com/im/pictures/1e1b2d54-be5b-4f63-8b27-5e931ace4ea8.jpg?im_w=720,130
8,53890995,2Br 2Ba Nordic Midtown Loft,4.77,4 guests,2 bedrooms,entire_home,2 beds,2 baths,False,Loft in Anchorage,61.19285,-149.904,$125,125,https://a0.muscache.com/im/pictures/2152319d-6481-4dce-8a90-1e44185e106e.jpg?im_w=720,13
9,37365135,West Anchorage Haven with WiFi/Netflix,4.84,2 guests,1 bedroom,entire_home,1 bed,1 bath,False,Apartment in Anchorage,61.19467,-149.93421,$102,102,https://a0.muscache.com/im/pictures/fb0e1579-aa41-4a10-bfea-c2d5303a218b.jpg?im_w=720,25
10,42795995,West Wind Cabins - The Point,4.94,6 guests,2 bedrooms,entire_home,4 beds,1 bath,False,Home in Homer,59.64345,-151.57759,$165,165,https://a0.muscache.com/im/pictures/miso/Hosting-42795995/original/399f5c56-41c9-430e-8c91-ee656055048d.jpeg?im_w=720,146
11,20798186,"Home away from home, Alaska at its best",4.9,3 guests,1 bedroom,entire_home,2 beds,1 bath,False,Apartment in Anchorage,61.13555,-149.77212,$98,98,https://a0.muscache.com/im/pictures/50186f3e-056c-407f-a0aa-e7eb6571810a.jpg?im_w=720,200
12,587825284534709865,Private bedroom # 4 with lots of amenities,5.0,1 guest,1 bedroom,private_room,1 bed,2 shared baths,False,Private room in Anchorage,61.22639,-149.8084,$50,50,https://a0.muscache.com/im/pictures/miso/Hosting-587825284534709865/original/50057015-0db5-49f1-8fab-9ab8932be682.jpeg?im_w=720,3
13,22493777,Flattop Mtn Flat,4.91,4 guests,2 bedrooms,entire_home,2 beds,1 bath,False,Condo in Anchorage,61.19747,-149.78565,$101,101,https://a0.muscache.com/im/pictures/61593193-2080-4722-a2e4-3ced520b4a0e.jpg?im_w=720,124
